idacidente;longitude;latitude;data;hora;log1;log2;predial1;regiao;tipo_acid;tipo_veic;dia_sem;periododia;sit_vitima;sexo;idade;fx_et;fatais
737329;-51,20075388;-30,01381159;24/10/2023;11:00:00;AV VIENA;;166;NORTE;ABALROAMENTO;MOTOCICLETA;TERÇA-FEIRA;MANHÃ;CONDUTOR;MASCULINO;30;26 A 35;0
682741;-51,20544106;-30,0109592;02/06/2021;11:50:00;R MOURA AZEVEDO;;415;NORTE;ABALROAMENTO;AUTOMÓVEL;QUARTA-FEIRA;MANHÃ;CONDUTOR;MASCULINO;27;26 A 35;0
648471;-51,135544;-30,03947;06/06/2018;16:00:00;R TEN ARY TARRAGO;;313;NORTE;ABALROAMENTO;MOTOCICLETA;QUARTA-FEIRA;TARDE;CONDUTOR;MASCULINO;19;18 A 25;0
734422;-51,1145175;-29,97888438;22/08/2023;11:00:00;AV ASSIS BRASIL;;8787;NORTE;COLISÃO;AUTOMÓVEL;TERÇA-FEIRA;MANHÃ;CONDUTOR;MASCULINO;58;46 A 59;1
659713;-51,18396163;-30,05771922;23/04/2019;22:30:00;AV IPIRANGA;R DR SALVADOR FRANCA;5500;LESTE;QUEDA;MOTOCICLETA;TERÇA-FEIRA;NOITE;CONDUTOR;MASCULINO;58;46 A 59;0
700076;-51,24810771;-30,1053317;09/09/2022;10:40:00;R DR BARCELOS;R DR CASTRO DE MENEZES;1113;SUL;ABALROAMENTO;AUTOMÓVEL;SEXTA-FEIRA;MANHÃ;OCUPANTE;FEMININO;23;18 A 25;0
685706;-51,21567622;-30,05788301;14/08/2021;22:00:00;AV AZENHA;;1622;SUL;COLISÃO;BICICLETA;SÁBADO;NOITE;CONDUTOR;MASCULINO;29;26 A 35;0
662640;-51,1126157;-29,9833761;17/07/2019;00:01:00;AV ASSIS BRASIL;AV BERNARDINO SILVEIRA DE AMORIM;0;NORTE;ABALROAMENTO;MOTOCICLETA;QUARTA-FEIRA;MADRUGADA;CONDUTOR;MASCULINO;22;18 A 25;0
732555;-51,16752495;-30,06349536;30/06/2023;19:00:00;R SALDANHA DA GAMA;;292;LESTE;ABALROAMENTO;MOTOCICLETA;SEXTA-FEIRA;NOITE;CONDUTOR;FEMININO;42;36 A 45;0
690345;-51,12285779;-29,97793987;14/12/2021;07:30:00;AV BERNARDINO SILVEIRA DE AMORIM;;648;NORTE;CHOQUE;AUTOMÓVEL;TERÇA-FEIRA;MANHÃ;CONDUTOR;MASCULINO;62;60 +;0
654003;-51,200261;-30,004339;13/11/2018;01:20:00;AV FARRAPOS;;3245;NORTE;ABALROAMENTO;AUTOMÓVEL;TERÇA-FEIRA;MADRUGADA;OCUPANTE;MASCULINO;56;46 A 59;0
678253;-51,23718684;-30,10420384;07/01/2021;17:30:00;AV OTTO NIEMEYER;;2219;SUL;ABALROAMENTO;MOTOCICLETA;QUINTA-FEIRA;TARDE;CONDUTOR;MASCULINO;32;26 A 35;0
730348;-51,11472345;-29,98085145;18/05/2023;07:30:00;AV BERNARDINO SILVEIRA DE AMORIM;R SENHOR DO BOM FIM;;NORTE;ABALROAMENTO;MOTOCICLETA;QUINTA-FEIRA;MANHÃ;CONDUTOR;MASCULINO;;NI;0
704157;-51,16307627;-30,0542273;16/12/2022;08:30:00;R SAO JOSEMARIA ESCRIVA;;555;LESTE;ABALROAMENTO;MOTOCICLETA;SEXTA-FEIRA;MANHÃ;CONDUTOR;MASCULINO;20;18 A 25;0
653055;-51,201494;-30,075597;07/10/2018;10:30:00;AV PROF OSCAR PEREIRA;;2884;SUL;ABALROAMENTO;MOTOCICLETA;DOMINGO;MANHÃ;OCUPANTE;FEMININO;53;46 A 59;0
669087;-51,17708042;-30,11851247;31/12/2019;21:15:00;ESTR COSTA GAMA;;582;SUL;QUEDA;MOTOCICLETA;TERÇA-FEIRA;NOITE;OCUPANTE;FEMININO;21;18 A 25;0
686671;-51,15669385;-30,02960244;14/09/2021;13:20:00;AV DR NILO PECANHA;R CEL GENES BENTO;3410;LESTE;ABALROAMENTO;MOTOCICLETA;TERÇA-FEIRA;TARDE;CONDUTOR;MASCULINO;24;18 A 25;0
698102;-51,18394582;-30,05832719;19/07/2022;04:40:00;AV IPIRANGA;;5601;LESTE;CHOQUE;AUTOMÓVEL;TERÇA-FEIRA;MADRUGADA;CONDUTOR;MASCULINO;24;18 A 25;0
687030;-51,14354361;-30,03387359;15/09/2021;13:00:00;R GUADALAJARA;;695;LESTE;ABALROAMENTO;MOTOCICLETA;QUARTA-FEIRA;TARDE;CONDUTOR;MASCULINO;55;46 A 59;0
644212;-51,155609;-30,015866;23/01/2018;11:01:00;R ADAO BAINO;;587;NORTE;COLISÃO;;TERÇA-FEIRA;MANHÃ;OCUPANTE;FEMININO;17;11 A 17;0
735232;-51,17853992;-30,0090643;06/09/2023;09:00:00;AV BRASILIANO INDIO DE MORAES;AV ASSIS BRASIL;29;NORTE;ABALROAMENTO;AUTOMÓVEL;QUARTA-FEIRA;MANHÃ;CONDUTOR;MASCULINO;47;46 A 59;0
695332;-51,20555875;-30,07599507;10/05/2022;07:30:00;AV CEL APARICIO BORGES;R CASSILDA FLORA ZAFFARI;201;SUL;ABALROAMENTO;AUTOMÓVEL;TERÇA-FEIRA;MANHÃ;OCUPANTE;FEMININO;53;46 A 59;0
648552;-51,171193;-30,017035;08/06/2018;15:26:00;R ANDARAI;;800;NORTE;ABALROAMENTO;AUTOMÓVEL;SEXTA-FEIRA;TARDE;OCUPANTE;MASCULINO;46;46 A 59;0
734420;-51,14501131;-30,15765935;18/08/2023;09:00:00;ESTR JOAO ANTONIO SILVEIRA;;1335;SUL;ABALROAMENTO;MOTOCICLETA;SEXTA-FEIRA;MANHÃ;CONDUTOR;MASCULINO;47;46 A 59;0
693625;-51,20548956;-30,01945922;24/03/2022;10:50:00;R CANCIO GOMES;;786;NORTE;COLISÃO;MOTOCICLETA;QUINTA-FEIRA;MANHÃ;CONDUTOR;MASCULINO;25;18 A 25;0
692962;-51,18986792;-29,98050345;05/03/2022;13:30:00;AV ENG FELICIO LEMIESZEK;;141;NORTE;QUEDA;MOTOCICLETA;SÁBADO;TARDE;OCUPANTE;MASCULINO;19;18 A 25;0
698704;-51,14558313;-30,15808119;31/07/2022;19:19:00;R CLARA NUNES;ESTR JOAO ANTONIO SILVEIRA;845;SUL;ABALROAMENTO;MOTOCICLETA;DOMINGO;NOITE;CONDUTOR;MASCULINO;30;26 A 35;0
